mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	SystemText	3/4	1	1	0								Adagio non troppo.								
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0									𝅘𝅥=54	54.0	𝅘𝅥	54.0	0.0			
1	1	0	0	0.0	0	0	Dynamic	3/4	2	1	0					p											
1	1	0	0	0.0	0	0	Spanner	3/4	2	1	0															0	
1	1	0	0	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	0											0	
1	1	1	1	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	1											0	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	2											0	
1	1	2	2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	3											0	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	4											0	
1	1	0	0	0.0	0	0	Dynamic	3/4	3	1	0					p											
1	1	0	0	0.0	0	0	Spanner	3/4	3	1	0															1	
1	1	0	0	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	5											1	
1	1	1	1	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	6											1	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	7											1	
1	1	2	2	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	8											1	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	9											1	
1	1	0	0	0.0	0	0	Dynamic	3/4	4	1	0					p											
1	1	0	0	0.0	0	0	Spanner	3/4	4	1	0															2	
1	1	0	0	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	10											2	
1	1	1	1	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	11											2	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	12											2	
1	1	2	2	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	13											2	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	14											2	
2	2	4	4	0.0	1/4	1/4	Dynamic	3/4	1	1	0					sf											
2	2	4	4	0.0	1/4	1/4	Spanner	3/4	1	1	0															3	
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	15										0	3	
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	16											3	
2	2	3	3	0.0	0	0	Dynamic	3/4	2	1	0					sf											
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0																
2	2	3	3	0.0	0	0	Spanner	3/4	2	1	0																0
2	2	3	3	3.0	0	0	Chord	3/4	2	1	3/4		1/2	3/2	17										1		0
2	2	3	3	0.0	0	0	Dynamic	3/4	3	1	0					sf											
2	2	3	3	0.0	0	0	Spanner	3/4	3	1	0																
2	2	3	3	0.0	0	0	Spanner	3/4	3	1	0																1
2	2	3	3	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	18												1
2	2	3	3	0.0	0	0	Dynamic	3/4	4	1	0					sf											
2	2	3	3	0.0	0	0	Spanner	3/4	4	1	0																
2	2	3	3	0.0	0	0	Spanner	3/4	4	1	0																2
2	2	3	3	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	19										2		2
3	3	6	6	0.0	0	0	Dynamic	3/4	1	1	0					p											
3	3	6	6	0.0	0	0	Spanner	3/4	1	1	0																
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	20												
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	21												
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	22										3		
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	23										3		
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	24												
3	3	6	6	0.0	0	0	Dynamic	3/4	2	1	0					p											
3	3	6	6	0.0	0	0	Spanner	3/4	2	1	0																
3	3	6	6	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	25												
3	3	7	7	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	26												
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	27												
3	3	8	8	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	28												
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	29												
3	3	6	6	0.0	0	0	Dynamic	3/4	3	1	0					p											
3	3	6	6	0.0	0	0	Spanner	3/4	3	1	0																
3	3	6	6	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	30												
3	3	7	7	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	31												
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	32												
3	3	8	8	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	33												
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	34												
3	3	6	6	0.0	0	0	Dynamic	3/4	4	1	0					p											
3	3	6	6	0.0	0	0	Spanner	3/4	4	1	0																
3	3	6	6	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	35												
3	3	7	7	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	36												
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	37												
3	3	8	8	0.5	1/2	1/2	Chord	3/4	4	1	1/8		1/8	1	38												
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	4	1	1/8		1/8	1	39												
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	40										4		
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	41										4		
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	42												
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	43										5		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	44												
4	4	9	9	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	45										6		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	46												
4	4	10	10	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	47										7		
4	4	11	11	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	48												
4	4	9	9	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	49										8		
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	50												
4	4	10	10	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	51												
4	4	9	9	3.0	0	0	Chord	3/4	4	1	3/4		1/2	3/2	52												
5	5	12	12	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	53												
5	5	13	13	0.0	1/4	1/4	StaffText	3/4	1	1	0							cresc.									
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	54												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	55												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	56												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	57												
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	58												
5	5	13	13	0.0	1/4	1/4	StaffText	3/4	2	1	0							cresc.									
5	5	13	13	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	59												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	60												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	61												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	62												
5	5	12	12	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	63												
5	5	13	13	0.0	1/4	1/4	StaffText	3/4	3	1	0							cresc.									
5	5	13	13	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	64												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	65												
5	5	14	14	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	66												
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	67												
5	5	12	12	1.0	0	0	Chord	3/4	4	1	1/4		1/4	1	68												
5	5	13	13	0.0	1/4	1/4	StaffText	3/4	4	1	0							cresc.									
5	5	13	13	0.5	1/4	1/4	Chord	3/4	4	1	1/8		1/8	1	69												
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	4	1	1/8		1/8	1	70												
