mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	diminuendo_line	crescendo_line	crescendo_hairpin	decrescendo_hairpin
32	32	62	62	0.0	0	0	Dynamic	2/4	2	1	0						f												
32	32	62	62	2.0	0	0	Chord	2/4	2	1	1/2		c16	1/2	1	225									77				
32	32	62	62	2.0	0	0	Chord	2/4	2	1	1/2			1/2	1	226									77				
32	32	62	62	0.0	0	0	Dynamic	2/4	3	1	0						f												
32	32	62	62	2.0	0	0	Chord	2/4	3	1	1/2		c16	1/2	1	227									78				
32	32	62	62	2.0	0	0	Chord	2/4	3	1	1/2			1/2	1	228									78				
33	33	65	65	0.0	1/4	1/4	Spanner	2/4	1	1	0															4			
33	33	65	65	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	229									79	4			
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	230									79	4			
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	231									79	4			
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	232										4			
33	33	65	65	0.0	1/4	1/4	Spanner	2/4	2	1	0															5			
33	33	65	65	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	233									80	5			
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	234									80	5			
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	235									80	5			
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	236										5			
33	33	65	65	0.0	1/4	1/4	Spanner	2/4	3	1	0															6			
33	33	65	65	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	237									81	6			
33	33	261/4	261/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	238									81	6			
33	33	131/2	131/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	239									81	6			
33	33	263/4	263/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	240										6			
33	33	64	64	0.0	0	0	Spanner	2/4	4	1	0															7			
33	33	64	64	0.25	0	0	Chord	2/4	4	1	1/16			1/16	1	241									82	7			
33	33	257/4	257/4	0.25	1/16	1/16	Chord	2/4	4	1	1/16			1/16	1	242									82	7			
33	33	129/2	129/2	0.25	1/8	1/8	Chord	2/4	4	1	1/16			1/16	1	243									82	7			
33	33	259/4	259/4	0.25	3/16	3/16	Chord	2/4	4	1	1/16			1/16	1	244										7			
34	34	67	67	0.25	1/4	1/4	Chord	2/4	1	1	1/16			1/16	1	245									83	4			
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16			1/16	1	246									83	4			
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	247									83	4			
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	248										4			
34	34	67	67	0.25	1/4	1/4	Chord	2/4	2	1	1/16			1/16	1	249									84	5			
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16			1/16	1	250									84	5			
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16			1/16	1	251									84	5			
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16			1/16	1	252										5			
34	34	67	67	0.25	1/4	1/4	Chord	2/4	3	1	1/16			1/16	1	253									85	6			
34	34	269/4	269/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16			1/16	1	254									85	6			
34	34	135/2	135/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16			1/16	1	255									85	6			
34	34	271/4	271/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16			1/16	1	256										6			
34	34	66	66	0.25	0	0	Chord	2/4	4	1	1/16			1/16	1	257									86	7			
