mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	diminuendo_line	crescendo_line	decrescendo_hairpin	TextLine	TextLine_accelerando poco a poco
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0								Allegrovivaceassai	180.0			1.0							
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0								𝅗𝅥=84	168.0	𝅗𝅥	84.0	0.0							
1	1	2	2	0.0	1/2	1/2	Dynamic	2/2	3	1	0					fp														
1	1	2	2	2.0	1/2	1/2	Chord	2/2	3	1	1/2	r16	1/2	1	0															
1	1	0	0	0.0	0	0	Dynamic	2/2	4	1	0					fp														
1	1	0	0	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	1															
1	1	2	2	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	2															
2	2	4	4	0.0	0	0	Dynamic	2/2	1	1	0					p														
2	2	4	4	0.0	0	0	Spanner	2/2	1	1	0														0					
2	2	4	4	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	3										0					
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	4										0					
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	5										0					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	6										0					
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	1	1	0																			
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	1	1	0																	0		
2	2	6	6	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	7													0		
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	8													0		
2	2	7	7	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	9													0		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	10													0		
2	2	4	4	0.0	0	0	Dynamic	2/2	2	1	0					p														
2	2	4	4	0.0	0	0	Spanner	2/2	2	1	0														1					
2	2	4	4	0.5	0	0	Chord	2/2	2	1	1/8	r8	1/8	1	11										1					
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	r8	1/8	1	12										1					
2	2	5	5	0.5	1/4	1/4	Chord	2/2	2	1	1/8	r8	1/8	1	13										1					
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	r8	1/8	1	14										1					
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	2	1	0																			
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	2	1	0																	1		
2	2	6	6	0.5	1/2	1/2	Chord	2/2	2	1	1/8	r8	1/8	1	15													1		
2	2	13/2	13/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	r8	1/8	1	16													1		
2	2	7	7	0.5	3/4	3/4	Chord	2/2	2	1	1/8	r8	1/8	1	17													1		
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	r8	1/8	1	18													1		
2	2	4	4	0.0	0	0	Spanner	2/2	3	1	0														2					
2	2	4	4	2.0	0	0	Chord	2/2	3	1	1/2	r16	1/2	1	19										2					
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	3	1	0																			
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	3	1	0																	2		
2	2	6	6	2.0	1/2	1/2	Chord	2/2	3	1	1/2	r16	1/2	1	20													2		
2	2	4	4	0.0	0	0	Spanner	2/2	4	1	0														3					
2	2	4	4	2.0	0	0	Chord	2/2	4	1	1/2	r16	1/2	1	21										3					
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	4	1	0																			
2	2	6	6	0.0	1/2	1/2	Spanner	2/2	4	1	0																	3		
2	2	6	6	2.0	1/2	1/2	Chord	2/2	4	1	1/2	r16	1/2	1	22													3		
3	3	8	8	0.0	0	0	Spanner	2/2	1	1	0																			
3	3	8	8	0.5	0	0	Chord	2/2	1	1	1/8	r8	1/8	1	23															
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	r8	1/8	1	24															
3	3	9	9	0.5	1/4	1/4	Chord	2/2	1	1	1/8	r8	1/8	1	25															
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	r8	1/8	1	26															
3	3	10	10	0.5	1/2	1/2	Chord	2/2	1	1	1/8	r8	1/8	1	27															
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	r8	1/8	1	28															
3	3	11	11	0.0	3/4	3/4	Spanner	2/2	1	1	0														4					
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	1	1/8	r8	1/8	1	29										4					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	r8	1/8	1	30										4					
3	3	8	8	0.0	0	0	Spanner	2/2	2	1	0																			
3	3	8	8	0.5	0	0	Chord	2/2	2	1	1/8	r8	1/8	1	31															
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	2	1	1/8	r8	1/8	1	32															
3	3	9	9	0.5	1/4	1/4	Chord	2/2	2	1	1/8	r8	1/8	1	33															
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	2	1	1/8	r8	1/8	1	34															
3	3	10	10	0.5	1/2	1/2	Chord	2/2	2	1	1/8	r8	1/8	1	35															
3	3	21/2	21/2	0.5	5/8	5/8	Chord	2/2	2	1	1/8	r8	1/8	1	36															
3	3	11	11	0.0	3/4	3/4	Spanner	2/2	2	1	0														5					
3	3	11	11	0.5	3/4	3/4	Chord	2/2	2	1	1/8	r8	1/8	1	37										5					
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	2	1	1/8	r8	1/8	1	38										5					
