mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	1	0	0	0.0	0	0	Dynamic	12/8	1	1	0						f										
1	1	0	0	0.0	0	0	Tempo	12/8	1	1	0									𝅗𝅥.=104	312.0	𝅗𝅥.	104.0	1.0			
1	1	0	0	0.0	0	0	Tempo	12/8	1	1	0									Prestoconbrio.	187.0			1.0			
1	1	0	0	3.0	0	0	Chord	12/8	1	1	3/4			1/2	3/2	0											
1	1	3	3	1.5	3/4	3/4	Chord	12/8	1	1	3/8			1/4	3/2	1											
1	1	9/2	9/2	1.5	9/8	9/8	Chord	12/8	1	1	3/8			1/4	3/2	2											
1	1	0	0	0.0	0	0	Dynamic	12/8	2	1	0						f										
1	1	0	0	3.0	0	0	Chord	12/8	2	1	3/4			1/2	3/2	3											
1	1	3	3	1.5	3/4	3/4	Chord	12/8	2	1	3/8			1/4	3/2	4											
1	1	9/2	9/2	1.5	9/8	9/8	Chord	12/8	2	1	3/8			1/4	3/2	5											
1	1	0	0	0.0	0	0	Dynamic	12/8	3	1	0						f										
1	1	0	0	3.0	0	0	Chord	12/8	3	1	3/4			1/2	3/2	6											
1	1	3	3	1.5	3/4	3/4	Chord	12/8	3	1	3/8			1/4	3/2	7											
1	1	9/2	9/2	1.5	9/8	9/8	Chord	12/8	3	1	3/8			1/4	3/2	8											
1	1	0	0	0.0	0	0	Dynamic	12/8	4	1	0						f										
1	1	0	0	3.0	0	0	Chord	12/8	4	1	3/4			1/2	3/2	9											
1	1	3	3	1.5	3/4	3/4	Chord	12/8	4	1	3/8			1/4	3/2	10											
1	1	9/2	9/2	1.5	9/8	9/8	Chord	12/8	4	1	3/8			1/4	3/2	11											
2	2	6	6	1.0	0	0	Chord	12/8	1	1	1/4			1/4	1	12											
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8			1/8	1	13											
2	2	8	8	0.5	1/2	1/2	Chord	12/8	1	1	1/8			1/8	1	14											
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8			1/8	1	15											
2	2	9	9	0.5	3/4	3/4	Chord	12/8	1	1	1/8			1/8	1	16									0		
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8			1/8	1	17									0		
2	2	10	10	0.5	1	1	Chord	12/8	1	1	1/8			1/8	1	18											
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8			1/8	1	19											
2	2	11	11	0.5	5/4	5/4	Chord	12/8	1	1	1/8			1/8	1	20											
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8			1/8	1	21											
2	2	6	6	1.0	0	0	Chord	12/8	2	1	1/4			1/4	1	22											
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8			1/8	1	23											
2	2	8	8	0.5	1/2	1/2	Chord	12/8	2	1	1/8			1/8	1	24											
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	2	1	1/8			1/8	1	25											
2	2	9	9	0.5	3/4	3/4	Chord	12/8	2	1	1/8			1/8	1	26									1		
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	2	1	1/8			1/8	1	27									1		
2	2	10	10	0.5	1	1	Chord	12/8	2	1	1/8			1/8	1	28											
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	2	1	1/8			1/8	1	29											
2	2	11	11	0.5	5/4	5/4	Chord	12/8	2	1	1/8			1/8	1	30											
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	2	1	1/8			1/8	1	31											
2	2	6	6	1.0	0	0	Chord	12/8	3	1	1/4			1/4	1	32											
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	3	1	1/8			1/8	1	33											
2	2	8	8	0.5	1/2	1/2	Chord	12/8	3	1	1/8			1/8	1	34											
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	3	1	1/8			1/8	1	35											
2	2	9	9	0.5	3/4	3/4	Chord	12/8	3	1	1/8			1/8	1	36									2		
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	3	1	1/8			1/8	1	37									2		
2	2	10	10	0.5	1	1	Chord	12/8	3	1	1/8			1/8	1	38											
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	3	1	1/8			1/8	1	39											
2	2	11	11	0.5	5/4	5/4	Chord	12/8	3	1	1/8			1/8	1	40											
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	3	1	1/8			1/8	1	41											
2	2	6	6	1.0	0	0	Chord	12/8	4	1	1/4			1/4	1	42											
