mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	crescendo_line	decrescendo_hairpin
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0									Allegrovivace𝅗𝅥.=72	126.0	Allegrovivace𝅗𝅥.	72.0	0.0				
1	0	0	0	0.0	0	3/4	Dynamic	4/4	1	1	0						f											
1	0	0	0	0.25	0	3/4	Chord	4/4	1	1	1/16			1/16	1	0									0			
1	0	1/4	1/4	0.25	1/16	13/16	Chord	4/4	1	1	1/16			1/16	1	1									0			
1	0	1/2	1/2	0.25	1/8	7/8	Chord	4/4	1	1	1/16			1/16	1	2									0			
1	0	3/4	3/4	0.25	3/16	15/16	Chord	4/4	1	1	1/16			1/16	1	3									0			
2	1	1	1	0.0	0	0	Dynamic	4/4	1	1	0						sf											
2	1	1	1	4.0	0	0	Chord	4/4	1	1	1			1	1	4												
2	1	2	2	0.0	1/4	1/4	Dynamic	4/4	2	1	0						f											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	5									1			
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	6									1			
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	7									1			
2	1	2	2	0.0	1/4	1/4	Dynamic	4/4	3	1	0						f											
2	1	2	2	2.0	1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	8									2			
2	1	4	4	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	9												
2	1	2	2	0.0	1/4	1/4	Dynamic	4/4	4	1	0						f											
2	1	2	2	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	10									3			
2	1	3	3	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	11									3			
2	1	4	4	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	12									3			
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	13												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	14									4			
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	15												
3	2	8	8	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	16									5			
3	2	33/4	33/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	17									5			
3	2	17/2	17/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	18									5			
3	2	35/4	35/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	19									5			
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	20												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	21									6			
3	2	7	7	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	22												
3	2	5	5	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	23												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	24									7			
3	2	7	7	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	25												
3	2	5	5	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	26												
3	2	6	6	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	27									8			
3	2	7	7	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	28												
4	3	9	9	0.0	0	0	Dynamic	4/4	1	1	0						sf											
4	3	9	9	4.0	0	0	Chord	4/4	1	1	1			1	1	29												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	30									9			
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4			1/4	1	31									9			
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	32									9			
4	3	10	10	2.0	1/4	1/4	Chord	4/4	3	1	1/2			1/2	1	33									10			
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	1	1/4			1/4	1	34												
4	3	10	10	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	35									11			
4	3	11	11	1.0	1/2	1/2	Chord	4/4	4	1	1/4			1/4	1	36									11			
4	3	12	12	1.0	3/4	3/4	Chord	4/4	4	1	1/4			1/4	1	37									11			
5	4	13	13	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	38												
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	39									12			
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4			1/4	1	40												
5	4	16	16	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	41									13			
5	4	65/4	65/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	42									13			
5	4	33/2	33/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	43									13			
5	4	67/4	67/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	44									13			
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	45												
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	46									14			
5	4	15	15	2.0	1/2	1/2	Chord	4/4	2	1	1/2			1/2	1	47												
5	4	13	13	1.0	0	0	Chord	4/4	3	1	1/4			1/4	1	48												
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	49									15			
5	4	15	15	2.0	1/2	1/2	Chord	4/4	3	1	1/2			1/2	1	50												
5	4	13	13	1.0	0	0	Chord	4/4	4	1	1/4			1/4	1	51												
5	4	14	14	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	52									16			
5	4	15	15	2.0	1/2	1/2	Chord	4/4	4	1	1/2			1/2	1	53												
6	5	17	17	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	54		articStaccatoBelow										
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	55												
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	56		articStaccatoBelow										
6	5	20	20	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	57									17			
6	5	81/4	81/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	58									17			
6	5	41/2	41/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	59									17			
6	5	83/4	83/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	60									17			
6	5	17	17	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	61		articStaccatoBelow										
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	62												
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	63		articStaccatoBelow										
6	5	17	17	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	64		articStaccatoBelow										
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	65												
6	5	18	18	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	66		articStaccatoBelow										
6	5	17	17	0.75	0	0	Chord	4/4	4	1	3/16			1/8	3/2	67		articStaccatoAbove										
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16			1/16	1	68												
6	5	18	18	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	69		articStaccatoAbove										
7	6	21	21	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	70		articStaccatoBelow										
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	71												
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	72		articStaccatoBelow										
7	6	24	24	0.0	3/4	3/4	StaffText	4/4	1	1	0								cresc.									
7	6	24	24	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	73									18			
7	6	97/4	97/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	74									18			
7	6	49/2	49/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	75									18			
7	6	99/4	99/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	76									18			
7	6	21	21	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	77		articStaccatoBelow										
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	78												
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4			1/4	1	79		articStaccatoBelow										
7	6	21	21	0.75	0	0	Chord	4/4	3	1	3/16			1/8	3/2	80		articStaccatoBelow										
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	3	1	1/16			1/16	1	81												
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	1	1/4			1/4	1	82		articStaccatoAbove										
7	6	21	21	0.75	0	0	Chord	4/4	4	1	3/16			1/8	3/2	83		articStaccatoBelow										
7	6	87/4	87/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16			1/16	1	84												
7	6	22	22	1.0	1/4	1/4	Chord	4/4	4	1	1/4			1/4	1	85		articStaccatoBelow										
8	7	25	25	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	86		articStaccatoAbove										
8	7	103/4	103/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	87												
8	7	26	26	0.75	1/4	1/4	Chord	4/4	1	1	3/16			1/8	3/2	88		articStaccatoAbove										
8	7	107/4	107/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	89												
8	7	27	27	0.75	1/2	1/2	Chord	4/4	1	1	3/16			1/8	3/2	90		articStaccatoAbove										
8	7	111/4	111/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	91												
8	7	28	28	0.75	3/4	3/4	Chord	4/4	1	1	3/16			1/8	3/2	92		articStaccatoAbove										
8	7	115/4	115/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	93												
8	7	25	25	0.75	0	0	Chord	4/4	2	1	3/16			1/8	3/2	94		articStaccatoAbove										
8	7	103/4	103/4	0.0	3/16	3/16	StaffText	4/4	2	1	0								cresc.									
